pt110,5929927.9764,2243853.9558,172.1145,cem
pt111,5929927.6641,2243854.9310,172.1095,cem
pt112,5929928.9870,2243855.4794,172.1130,cem
pt113,5929929.3985,2243854.5601,172.1075,cem
pt114,5929915.6189,2243863.6506,172.1703,op
pt115,5929915.3988,2243864.7539,171.9296,tua
pt116,5929905.0731,2243884.3787,171.8550,op
pt117,5929911.7742,2243887.7459,171.9339,op
pt118,5929895.1290,2243904.2215,171.7503,op
pt119,5929888.1077,2243918.0340,171.8507,op
pt120,5929886.4788,2243921.3647,171.9255,op
pt121,5930047.8915,2243616.1056,170.9835,op
pt122,5930049.1959,2243613.7243,170.8675,op
pt123,5930043.4760,2243605.6441,170.7070,op
pt124,5930054.9358,2243603.1617,170.7847,cem
pt125,5930054.3155,2243604.4246,170.8084,cem
pt126,5930052.4729,2243590.6140,170.4819,cem
pt127,5930052.7919,2243589.8907,170.4736,cem
pt128,5930053.0367,2243589.4169,170.4567,cem
pt129,5930053.3673,2243588.6400,170.4618,cem
pt130,5930048.2805,2243586.4615,170.6090,cem
pt131,5930047.9818,2243587.0880,170.5810,cem
pt132,5930047.7187,2243587.6380,170.5941,cem
pt133,5930047.4063,2243588.2689,170.6108,cem
pt134,5930060.4974,2243591.2009,170.7667,op
pt135,5930052.3865,2243583.8981,170.3018,z
pt136,5930053.7383,2243581.0642,170.2154,z
pt137,5930061.1503,2243589.3195,170.7286,fr
pt138,5930062.9482,2243585.8837,170.6433,fr
pt139,5930065.2063,2243582.2456,170.5570,fr
pt140,5930065.1775,2243583.9203,170.5924,cem
pt141,5930065.5149,2243582.8647,170.4509,cem
pt142,5930065.4922,2243584.0960,170.6394,cem
pt143,5930064.8815,2243585.5476,170.6640,cem
pt144,5930067.8367,2243579.0225,170.5924,kol
pt145,5930060.8708,2243566.7575,170.3198,der
pt146,5930066.6927,2243559.3988,170.4433,op
pt147,5930073.8127,2243564.9976,170.3713,op
pt148,5930078.6316,2243553.0564,170.2015,ku
pt149,5930082.5594,2243546.2388,170.1142,ku
pt150,5930070.1243,2243547.5747,170.2669,z
pt151,5930072.3435,2243542.9666,170.2272,z
pt152,5930096.7235,2243521.3382,170.0160,op
pt153,5930108.6294,2243497.7120,169.8144,op
pt154,5930110.1764,2243494.6218,169.8456,op
pt155,5930103.2226,2243480.2020,169.7801,op
pt156,5930042.2061,2243489.1864,170.0967,z
pt157,5930041.9162,2243489.9208,170.2064,z
pt158,5930026.8988,2243493.0460,169.9892,op
pt159,5930028.3742,2243491.9224,170.0181,cem
pt160,5930027.1676,2243490.8126,170.1569,z
pt161,5930028.7826,2243488.0699,170.1538,z
pt162,5930030.2330,2243488.7532,170.0330,cem
pt163,5930030.9768,2243487.8770,170.0706,cem
pt164,5930032.4426,2243485.0858,170.0084,cem
pt165,5930031.0541,2243484.1827,170.1481,z
pt166,5930026.9124,2243493.0652,170.0095,op
pt167,5930029.2052,2243502.9742,170.0849,op
pt168,5930027.7197,2243505.8112,170.1267,op
pt169,5930011.2891,2243519.0386,169.7517,skaf
pt170,5930010.2531,2243520.2617,169.7937,op
pt171,5930013.6049,2243528.3122,169.9405,op
pt172,5930013.5466,2243519.9261,169.8596,stvor
pt173,5929864.8437,2243758.0193,169.9109,op
pt174,5929866.1289,2243755.5687,170.0634,op
pt175,5929835.6193,2243787.0880,169.8042,op
