pt0,5746348.0450,1162035.8307,139.3561,asf
pt1,5746344.3076,1162040.6139,139.0516,z
pt2,5746338.9263,1162035.5718,138.8478,op
pt3,5746342.7205,1162034.8547,139.0097,op
pt4,5746343.5903,1162030.2541,139.3248,asf
pt5,5746336.6572,1162028.7288,139.2756,znak
pt6,5746336.9568,1162026.6307,139.3069,asf
pt7,5746330.1314,1162025.4125,139.2819,asf
pt8,5746334.6950,1162030.6167,138.8253,kol
pt9,5746335.2659,1162037.3903,138.9976,cem
pt10,5746335.4320,1162036.6261,138.9511,cem
pt11,5746333.4513,1162036.2611,138.9832,cem
pt12,5746333.5512,1162036.3224,139.1044,shkaf
pt13,5746333.3912,1162036.9079,139.1036,shkaf
pt14,5746335.0181,1162036.5559,139.1009,shkaf
pt15,5746320.0745,1162036.5965,138.7733,z
pt16,5746318.6925,1162042.6921,138.6723,z
pt17,5746317.2048,1162038.6049,138.9001,ktpp
pt18,5746316.9143,1162040.4842,138.8558,ktpp
pt19,5746314.0300,1162037.9297,139.0687,ktpp
pt20,5746314.5732,1162036.3913,138.7197,shkaf
pt21,5746311.9058,1162031.5562,138.3136,op
pt22,5746314.7224,1162028.0280,139.0828,op
pt23,5746315.7475,1162027.7677,139.0321,otk
pt24,5746315.7682,1162029.7491,138.2945,otk
pt25,5746315.2906,1162026.3522,139.0472,asf
pt26,5746304.1028,1162029.6445,138.9045,otk
pt27,5746304.4190,1162031.8541,138.3774,otk
pt28,5746305.2165,1162032.7958,138.4677,shkaf
pt29,5746303.7112,1162022.3477,138.8920,asf
pt30,5746304.1874,1162019.4162,138.7063,z
pt31,5746306.3285,1162019.1695,138.5973,gaz
pt32,5746297.3958,1162019.7111,138.7015,z
pt33,5746298.6575,1162014.6719,138.5183,z
pt34,5746298.5601,1162014.9912,138.5794,der
pt35,5746300.9913,1162013.8960,138.5225,z
pt36,5746308.3843,1162012.9576,138.6431,der
pt37,5746305.1145,1162014.6408,138.3056,kj10
pt38,5746310.9973,1162013.1604,138.1374,kj10
pt39,5746312.2945,1162021.6189,138.9347,asf
pt40,5746324.8145,1162020.5393,139.0644,asf
pt41,5746325.4643,1162017.7780,138.8129,gaz
pt42,5746327.2435,1162017.6019,138.8765,gaz
pt43,5746331.3336,1162019.6344,139.1564,asf
pt44,5746332.9649,1162017.1298,139.0348,z
pt45,5746333.3685,1162017.2316,139.1249,stbgaz
pt46,5746335.4055,1162017.0952,139.1528,asf
pt47,5746334.5795,1162015.3247,139.1378,z
pt48,5746338.1647,1162012.2026,139.2257,asf
pt49,5746335.3073,1162011.2268,139.0284,kol
pt50,5746334.2196,1162012.1200,139.1853,bmw
pt51,5746334.6347,1162015.1461,139.1598,z
pt52,5746333.3606,1162013.1309,138.9956,der
pt53,5746332.3207,1162009.6336,138.9633,der
pt54,5746337.3559,1162004.7700,139.1409,asf
pt55,5746333.7602,1162004.4590,139.2677,op
pt56,5746331.0696,1162002.2301,139.1259,op
pt57,5746329.8841,1162000.7817,139.0592,der
pt58,5746329.1770,1161997.5275,139.1312,z
pt59,5746329.3630,1161995.5080,139.0922,kjstvor
pt60,5746332.9101,1161991.4705,139.1831,asf
pt61,5746327.0132,1161985.0004,139.2807,kjstvor
pt62,5746325.4504,1161984.3686,139.2173,z
pt63,5746328.3970,1161978.7767,139.3367,asf
pt64,5746325.3466,1161979.3034,139.3804,op
pt65,5746322.5929,1161973.6208,139.3333,cem
pt66,5746322.4165,1161973.7002,139.3297,kolit
pt67,5746321.0801,1161969.5382,139.3539,kolit
pt68,5746321.5514,1161969.5726,139.3430,cem
pt69,5746325.7867,1161969.3161,139.3824,asf
pt70,5746330.8080,1161969.3032,139.2511,asf
pt71,5746333.1952,1161961.9815,139.1453,z
pt72,5746333.2044,1161961.1255,139.0733,stbgaz
pt73,5746332.0400,1161975.3971,139.2542,asf
pt74,5746338.5529,1161979.0080,139.0347,z
pt75,5746338.8410,1161978.9957,139.1361,z
pt76,5746335.1862,1161979.7507,139.1706,kj15
pt77,5746338.9736,1161980.0209,139.0911,gaz
pt78,5746341.2780,1161987.1617,139.2386,z
pt79,5746337.3766,1161991.1017,139.0941,asf
pt80,5746341.9180,1162005.7393,139.2147,asf
pt81,5746346.3313,1162003.8971,139.1483,gaz
pt82,5746346.6642,1162005.1253,139.2083,gaz
pt83,5746347.5454,1162008.1538,139.2176,z
pt84,5746347.7420,1162008.9385,139.2080,kolit
pt85,5746349.2187,1162012.7776,139.1702,kolit
pt86,5746349.4595,1162013.3212,139.1981,z
pt87,5746349.7794,1162013.7601,139.1915,op
pt88,5746349.5000,1162014.4254,139.2927,stbgaz
pt89,5746346.9915,1162018.6522,139.3170,asf
pt90,5746351.2712,1162029.9752,139.3434,asf
pt91,5746355.7969,1162029.0128,139.0389,z
pt92,5746343.1943,1162032.9420,139.1727,otk
pt93,5746339.5105,1162029.6367,139.2704,otk
pt94,5746338.7238,1162030.7650,138.8298,otk
pt95,5746329.8589,1162027.6416,139.1951,otk
pt96,5746329.1222,1162029.1011,138.8237,otk
pt97,5746323.5647,1161963.8216,139.4251,asf
pt98,5746318.7585,1161962.3211,139.3400,gaz
pt99,5746318.3161,1161959.1326,139.4063,stbgaz
pt100,5746317.4288,1161958.0987,139.2455,z
pt101,5746316.1729,1161953.6746,139.3155,z
pt102,5746315.6804,1161953.8749,139.2856,z
pt103,5746316.6615,1161953.2415,139.5207,op
pt104,5746316.1551,1161952.2445,139.3113,gaz
pt105,5746317.5521,1161951.1712,139.4850,kol
pt106,5746320.9446,1161961.2342,139.3226,kj25
pt107,5746324.2941,1161972.8613,139.2972,kj25
pt108,5746328.0629,1161958.7869,139.2125,asf
pt109,5746329.5285,1161963.6292,139.1578,dor
pt110,5746331.8014,1161960.3388,139.0087,dor
pt111,5746334.6514,1161957.9114,138.9366,dor
pt112,5746334.4550,1161953.8488,138.9606,dor
pt113,5746329.9889,1161952.5277,139.0177,dor
pt114,5746326.6889,1161949.7528,139.1724,dor
pt115,5746326.2137,1161948.2334,139.1823,asf
pt116,5746329.1086,1161950.1126,139.1664,z
pt117,5746331.0314,1161950.2944,139.0455,der
pt118,5746333.5109,1161950.7173,138.8832,z
pt119,5746333.2169,1161951.4022,139.0295,znak
pt120,5746334.0740,1161959.6213,139.0429,z
pt121,5746345.1641,1161956.8892,138.9206,dor
pt122,5746345.6821,1161953.1620,138.9600,dor
pt123,5746343.5409,1161951.5862,139.1219,op
pt124,5746345.8615,1161950.8870,139.0668,z
pt125,5746348.8235,1161956.8422,138.9335,cem
pt126,5746349.0163,1161958.0036,138.9674,kolit
pt127,5746350.3507,1161957.8401,138.9579,kolit
pt128,5746346.4652,1161956.9085,138.9294,kj10
pt129,5746352.3106,1161953.0199,138.8363,kj10
pt130,5746348.8889,1161953.2863,138.8694,kj10
pt131,5746353.2051,1161952.8409,138.8329,dor
pt132,5746355.2438,1161956.4025,138.8266,dor
pt133,5746362.2941,1161956.0732,138.8757,dor
pt134,5746363.7200,1161956.6793,138.8722,dor
pt135,5746362.7289,1161957.0825,138.9524,z
pt136,5746364.6067,1161958.4924,138.9269,z
pt137,5746364.5679,1161958.5267,138.9122,kolit
pt138,5746369.0190,1161958.2359,138.8716,kolit
pt139,5746370.5306,1161956.5672,138.9768,z
pt140,5746370.4858,1161955.9905,138.9749,dor
pt141,5746369.5471,1161956.4415,138.9014,dor
pt142,5746368.6582,1161957.7693,138.8058,dor
pt143,5746362.4055,1161957.5021,138.9812,z
pt144,5746363.4571,1161952.8645,138.7660,der
pt145,5746363.4004,1161952.7531,138.7779,dor
pt146,5746363.8173,1161950.9788,138.5316,z
pt147,5746371.1967,1161952.4286,138.8932,dor
pt148,5746373.9089,1161956.2900,139.0734,z
pt149,5746378.9439,1161951.1028,138.8816,z
pt150,5746379.0103,1161950.7646,138.7664,z
pt151,5746379.2292,1161956.4867,138.8486,n
pt152,5746373.1735,1161956.1197,138.6528,n
pt153,5746373.1278,1161956.8218,138.9669,n
pt154,5746381.8312,1161952.0751,138.7708,dor
pt155,5746383.1582,1161955.0677,138.8806,dor
pt156,5746384.7448,1161955.8207,138.8287,z
pt157,5746386.8989,1161954.7473,138.9078,asf
pt158,5746386.9390,1161952.0286,138.9073,asf
pt159,5746394.5679,1161955.3164,139.1626,kolit
pt160,5746395.7460,1161955.2653,139.1850,kolit
pt161,5746395.6919,1161955.2422,139.1954,cem
pt162,5746394.9109,1161955.1047,139.1758,cem
pt163,5746397.5925,1161955.2231,139.2941,der
pt164,5746400.0132,1161955.0634,139.1855,z
pt165,5746402.1192,1161955.3596,139.1453,z
pt166,5746402.1252,1161954.4787,139.2144,asf
pt167,5746405.1759,1161955.2061,139.2388,asf
pt168,5746407.2232,1161958.0106,139.3196,asf
pt169,5746410.3497,1161959.1478,139.3413,asf
pt170,5746410.4845,1161956.6195,139.3905,asf
pt171,5746411.3741,1161954.5958,139.3191,asf
pt172,5746412.4151,1161953.6341,139.3852,asf
pt173,5746412.5402,1161953.5075,139.4075,cem
pt174,5746404.0283,1161956.0993,139.1754,z
pt175,5746405.5361,1161957.5548,139.1332,z
pt176,5746406.7161,1161959.3656,139.1753,z
pt177,5746407.1745,1161964.1298,139.1514,z
pt178,5746411.9934,1161964.0976,139.0478,z
pt179,5746411.3462,1161959.2239,139.1837,z
pt180,5746412.5280,1161955.1196,139.3431,z
pt181,5746412.5912,1161955.1442,139.3446,kolit
pt182,5746412.6153,1161955.1550,139.3124,cem
pt183,5746416.0837,1161952.1215,139.2802,cem
pt184,5746416.9736,1161953.8301,139.3412,kolit
pt185,5746419.6580,1161953.2945,139.3246,z
pt186,5746419.7129,1161953.3392,139.3156,kolit
pt187,5746419.5935,1161951.6714,139.3009,cem
pt188,5746419.6234,1161947.1304,139.2574,z
pt189,5746417.4417,1161947.8021,139.3451,z
pt190,5746417.1584,1161946.0934,139.3742,z
pt191,5746417.2016,1161946.0499,139.3924,kolit
pt192,5746412.7956,1161945.1823,139.4268,kolit
pt193,5746412.7664,1161945.1181,139.4005,z
pt194,5746413.2120,1161945.6767,139.2613,asf
pt195,5746415.8997,1161946.3093,139.3018,asf
pt196,5746415.8707,1161947.8202,139.2717,asf
pt197,5746416.6126,1161948.3136,139.2595,asf
pt198,5746419.3651,1161947.9824,139.2571,asf
pt199,5746413.1901,1161948.2432,139.1873,asf
pt200,5746411.9796,1161947.3284,139.3277,z
pt201,5746411.3443,1161948.7547,139.4325,z
pt202,5746411.1305,1161949.6128,139.3400,asf
pt203,5746405.3899,1161951.7429,139.2139,asf
pt204,5746405.3882,1161950.4430,139.2536,z
pt205,5746412.6626,1161955.0326,139.4283,nav
pt206,5746417.9224,1161954.2551,139.6601,nav
pt207,5746420.8378,1161950.7950,139.2842,cem
pt208,5746421.0734,1161946.4734,139.1775,op
pt209,5746419.9432,1161943.3737,139.2021,z
pt210,5746427.5536,1161947.7362,139.2752,kol
pt211,5746437.8416,1161940.9532,139.2841,kj
pt212,5746434.0987,1161948.6573,139.3427,n
pt213,5746433.8431,1161946.5076,139.3872,n
pt214,5746433.6163,1161945.6508,139.3280,cem
pt215,5746439.0127,1161952.7888,139.4397,kj
pt216,5746437.0558,1161954.2469,139.9689,kj
pt217,5746428.2578,1161946.6096,139.3184,cem
pt218,5746427.9266,1161947.5400,139.3068,kol
pt219,5746426.2884,1161955.2753,139.4825,kj
pt220,5746418.4953,1161960.7602,139.2675,n
pt221,5746417.6723,1161946.0292,139.6051,op
pt222,5746405.9308,1161940.5038,139.2523,kj
pt223,5746414.8937,1161931.6255,139.2531,asf
pt224,5746418.2672,1161934.6090,139.3937,asf
pt225,5746409.6159,1161937.2724,139.4474,kj
pt226,5746413.7376,1161939.6513,139.3923,rder
pt227,5746418.9143,1161937.9264,139.4419,n
pt228,5746419.2895,1161938.9147,139.4514,n
pt229,5746419.7491,1161943.0248,139.4724,z
pt230,5746418.6392,1161942.7800,139.5611,der
pt231,5746406.7327,1161964.7157,139.2201,z
pt232,5746406.4214,1161964.8126,139.2832,kj
pt233,5746396.6605,1161965.9377,139.2457,kj
pt234,5746396.4267,1161965.4512,139.2122,cem
pt235,5746395.5087,1161966.1596,139.1719,cem
pt236,5746394.9142,1161966.3955,139.2268,cem
pt237,5746394.9777,1161966.5352,139.2745,cem
pt238,5746394.7202,1161951.6243,139.2303,kjstvor
pt239,5746380.1488,1161949.7212,139.6258,op
pt240,5746363.8584,1161964.1840,138.9130,z
pt241,5746363.9841,1161965.1152,138.8329,nav
pt242,5746360.3986,1161961.9796,138.9640,kj
pt243,5746361.4153,1161965.7301,139.9988,nav
pt244,5746365.9895,1161961.6478,138.7404,asf
pt245,5746369.1998,1161960.7860,138.7691,asf
pt246,5746373.0888,1161957.4796,138.7802,n
pt247,5746373.4423,1161961.8387,138.6687,n
pt248,5746353.3713,1161951.5483,138.7370,konfr
pt249,5746330.2505,1161951.3509,139.1190,konfr
