pt0	8250.6272	6692.859	159.0034	vv
pt1	8246.0391	6690.2179	158.7376	vv
pt2	8214.8561	6701.994	158.1075	vv
pt3	8193.2252	6711.4148	157.6465	vv
pt4	8175.8618	6718.8944	157.5377	vv
pt5	8161.6233	6724.2479	157.3349	vv
pt6	8156.3179	6726.1542	157.071	vv
pt7	8146.2518	6730.8815	156.8477	vv
pt8	8144.8175	6730.3807	156.8538	vv
pt9	8139.9293	6721.1796	157.3907	vv
pt10	8134.5668	6709.8439	157.3724	vv
pt11	8129.8386	6701.8743	156.653	vv
pt12	8104.8431	6710.7864	156.3353	vv
pt13	8085.8343	6719.3559	156.1835	vv
pt14	8077.6908	6723.2904	156.1141	vv
pt15	8071.1125	6709.983	155.9562	vv
pt16	8080.3252	6727.2043	156.2615	vv2
pt17	8075.0093	6717.8316	156.0524	vv2
pt18	8057.509	6737.9705	155.8058	vv2
pt19	8047.4175	6741.9731	155.6288	vv2
pt20	8034.11	6748.4663	155.5044	vv2
pt21	8020.5584	6754.3115	155.3834	vv2
pt22	8003.2512	6764.6859	155.4417	vv2
pt23	7984.4957	6772.9319	155.3057	vv2
pt24	7968.2093	6780.0361	154.9841	vv2
pt25	7952.7093	6788.3611	154.7769	vv2
pt26	7917.092	6804.9492	154.3049	vv2
pt27	8290.9235	6757.0593	160.2621	vv
pt28	8287.5189	6750.8505	160.2298	vv
pt29	8282.9651	6739.7158	160.1592	vv
pt30	8300.2188	6777.9658	160.2768	vv
pt31	8329.0955	6816.2643	159.6149	vv3
pt32	8336.0067	6835.5687	159.4856	vv3
pt33	8341.3649	6848.7325	159.3746	vv3
pt34	8347.4825	6861.9712	159.2079	vv3
pt35	8189.7727	7007.0459	158.2193	vv4
pt36	8186.7897	7000.0824	158.115	vv4
pt37	8194.9173	7018.7819	157.528	vv4
pt38	8198.7198	7033.5039	157.7066	vv4
pt39	8171.5678	7006.491	158.0935	vv4
pt40	8150.5079	7015.3631	158.1036	vv4
pt41	8132.0149	7022.8344	158.0926	vv4
pt42	8109.5683	7031.8343	158.1293	vv4
pt43	8093.8269	7038.378	158.1752	vv4
pt44	8099.4626	7047.4039	158.2255	vv5
pt45	8120.0423	7038.9333	158.27	vv5
pt46	8132.3661	7033.8554	158.1119	vv5
pt47	8141.19	7032.6858	158.0438	vv5
pt48	8149.4907	7036.5028	157.8217	vv5
pt49	8035.3655	7075.3125	156.9103	vv6
pt50	8024.2287	7076.6432	157.1072	vv6
pt51	8020.0357	7076.9388	156.9777	vv6
pt52	8019.2677	7092.8903	156.733	nv
pt53	8036.7084	7095.0275	156.6871	nv
pt54	8046.7721	7101.2339	156.703	nv
pt55	8053.7832	7392.6121	156.6964	vv7
pt56	8037.1517	7402.5166	156.7363	vv7
pt57	8005.6842	7407.1662	156.9921	vv7
pt58	7973.6271	7411.2255	156.7685	vv7
pt59	7938.6673	7416.4624	155.7447	vv7
pt60	7940.0257	7432.3706	155.9978	vv7
pt61	7942.3035	7493.7606	155.7289	vv7
pt62	7943.0588	7493.1232	155.7576	vv7
pt63	7945.6241	7525.1389	154.8862	vv7
pt64	7947.5397	7561.0879	154.0327	vv7
pt65	7947.3963	7582.9134	153.9593	vv7
pt66	7948.4134	7609.4493	154.0599	vv7
pt67	7946.4195	7634.808	153.6188	vv7
pt68	7947.8316	7636.5475	153.6057	nv
pt69	7957.9564	7634.6782	153.8719	nv
pt70	7941.4585	7638.8168	153.61	vv7
pt71	7926.9332	7639.6952	153.3404	vv7
pt72	7917.0417	7641.0957	153.1392	vv7
pt73	7912.228	7646.0483	153.1792	vv7
pt74	7894.4512	7653.8528	152.7951	vv8
pt75	7885.9174	7641.5452	152.7222	vv8
pt76	7875.5273	7638.7596	152.5352	vv8
pt77	7817.4642	7615.6128	150.5157	vv8
pt78	7824.0437	7202.8326	151.4905	vv10
pt79	7832.267	7188.1363	151.8163	vv10
pt80	7829.6958	7161.5013	151.9075	vv10
pt81	7826.7538	7131.6408	152.1294	vv10
pt82	7824.6336	7114.3436	152.4068	vv10
pt83	7822.7754	7093.861	152.2984	vv10
pt84	7820.7037	7073.2064	152.2192	vv10
pt85	7818.3412	7050.1491	152.1433	vv10
pt86	7835.474	7048.4093	152.548	vv10
pt87	7853.1726	7046.9127	153.0843	vv10
pt88	7869.5704	7045.9329	153.8568	vv10
pt89	7890.1196	7043.31	155.0641	vv10
pt90	7895.8818	7033.7958	155.4127	vv10
pt91	7792.1103	7207.2608	150.045	vv10
pt92	7774.4322	7209.4806	150.037	vv10
pt93	7737.2304	7230.6501	151.006	vv10
pt94	7705.457	7248.7863	151.8951	vv10
pt95	7686.4317	7262.3381	152.4312	vv10
pt96	7646.1609	7287.2884	153.2687	vv10
pt97	7609.593	7312.8351	154.0433	vv10
pt98	7575.5374	7336.8676	154.6728	vv10
pt99	7543.8576	7360.9982	155.1473	vv10
pt100	7542.9716	7366.5627	155.1731	vv10
pt101	7775.743	7215.6421	150.0193	vv01
pt102	7774.7748	7216.1819	150.0986	vv02
pt103	7772.393	7216.9061	150.105	vv03
pt104	7772.818	7204.895	150.0853	vv01
pt105	7770.8166	7205.7734	150.0747	vv02
pt106	7769.218	7206.6988	150.1564	vv03
